TR,morphParam,states,points
9,13,feedback,0
10,13,feedback,0
11,9,feedback,0
12,5,feedback,0
13,1,feedback,0
23,13,feedback,0
24,13,feedback,0
25,9,feedback,0
26,5,feedback,0
27,1,feedback,0
37,13,feedback,0
38,13,feedback,0
39,13,feedback,0
40,9,feedback,0
41,5,feedback,0
51,9,feedback,0
52,9,feedback,0
53,5,feedback,0
54,1,feedback,0
55,1,feedback,0
65,13,feedback,0
66,13,feedback,0
67,13,feedback,0
68,9,feedback,0
69,9,feedback,0
79,13,feedback,0
80,13,feedback,0
81,13,feedback,0
82,9,feedback,0
83,5,feedback,0
93,9,feedback,0
94,5,feedback,0
95,5,feedback,0
96,5,feedback,0
97,1,feedback,0
107,13,feedback,0
108,9,feedback,0
109,5,feedback,0
110,1,feedback,0
111,1,feedback,0
121,13,feedback,0
122,9,feedback,0
123,9,feedback,0
124,9,feedback,0
125,9,feedback,0
135,9,feedback,0
136,9,feedback,0
137,5,feedback,0
138,1,feedback,0
139,1,feedback,0
149,9,feedback,0
150,5,feedback,0
151,5,feedback,0
152,1,feedback,0
153,1,feedback,0
163,9,feedback,0
164,5,feedback,0
165,1,feedback,0
166,1,feedback,0
167,1,feedback,0
